"product","date","revenue","units"
3437,2011-08-01,9579,1294
3451,2011-08-01,0,1
3518,2011-08-01,0,1
3547,2011-08-01,0,1
3707,2011-08-01,0,1
3738,2011-08-01,9983,1266
3768,2011-08-01,3597,385
3822,2011-08-01,0,1
3841,2011-08-01,38314,745
3982,2011-08-01,3079,181
4058,2011-08-01,11247,644
4145,2011-08-01,0,1
4216,2011-08-01,0,1
4329,2011-08-01,0,1
4376,2011-08-01,2641,190
4402,2011-08-01,2324,1774
4404,2011-08-01,2505,1793
4413,2011-08-01,2272,1774
4445,2011-08-01,3270,234
4620,2011-08-01,0,1
4636,2011-08-01,0,1
4652,2011-08-01,3591,225
5034,2011-08-01,16644,732
5097,2011-08-01,0,1
5106,2011-08-01,0,1
5204,2011-08-01,101359,1046
5239,2011-08-01,0,1
5257,2011-08-01,12603,305
5277,2011-08-01,0,1
5309,2011-08-01,16630,1398
5328,2011-08-01,0,1
5429,2011-08-01,0,1
5434,2011-08-01,24411,13
5545,2011-08-01,9730,1140
5546,2011-08-01,10072,887
5587,2011-08-01,0,1
5621,2011-08-01,9882,702
5694,2011-08-01,0,1
5770,2011-08-01,0,1
5802,2011-08-01,27354,340
5805,2011-08-01,55377,970
5828,2011-08-01,41814,1492
5855,2011-08-01,228992,417
5928,2011-08-01,0,1
5933,2011-08-01,6603,1774
5942,2011-08-01,7752,615
5950,2011-08-01,0,1
5977,2011-08-01,21053,1821
5980,2011-08-01,44918,1643
5981,2011-08-01,52029,1585
5982,2011-08-01,67410,1279
5984,2011-08-01,69148,225
5985,2011-08-01,163384,669
5987,2011-08-01,22304,376
5989,2011-08-01,71589,1477
5992,2011-08-01,33928,644
5995,2011-08-01,5800,648
5996,2011-08-01,15801,797
6009,2011-08-01,4117,1120
6010,2011-08-01,6954,1341
6011,2011-08-01,0,1
6014,2011-08-01,17783,545
6015,2011-08-01,23049,1120
6018,2011-08-01,18275,530
6019,2011-08-01,29812,1251
6022,2011-08-01,0,1
6023,2011-08-01,0,1
6024,2011-08-01,0,1
6025,2011-08-01,66309,1439
6026,2011-08-01,46272,1698
6032,2011-08-01,10386,1014
6050,2011-08-01,34225,1040
6060,2011-08-01,15121,1811
6063,2011-08-01,36915,662
6064,2011-08-01,19341,267
6065,2011-08-01,16186,582
6066,2011-08-01,58706,1772
6075,2011-08-01,18992,1666
6076,2011-08-01,39462,1172
6078,2011-08-01,5160,1181
6079,2011-08-01,9273,1244
6081,2011-08-01,42997,1829
6082,2011-08-01,40942,1281
6083,2011-08-01,22381,1310
6088,2011-08-01,0,1
6090,2011-08-01,0,1
6124,2011-08-01,115509,44
6126,2011-08-01,38141,1470
6127,2011-08-01,61599,1150
6130,2011-08-01,90646,1751
6136,2011-08-01,26846,348
6145,2011-08-01,23560,1181
6146,2011-08-01,4293,1442
6149,2011-08-01,6556,878
6152,2011-08-01,16970,2
6160,2011-08-01,22970,2
6169,2011-08-01,12926,1266
6176,2011-08-01,9214,263
6179,2011-08-01,0,1
6210,2011-08-01,11888,634
6221,2011-08-01,97166,594
6235,2011-08-01,0,1
6249,2011-08-01,7929,1828
6253,2011-08-01,0,1
6270,2011-08-01,9463,1376
6279,2011-08-01,0,1
6296,2011-08-01,19655,1521
6297,2011-08-01,16887,1459
6298,2011-08-01,18285,1405
6299,2011-08-01,16655,1347
6300,2011-08-01,14795,1320
6301,2011-08-01,13102,1282
6302,2011-08-01,4707,1589
6303,2011-08-01,0,1
6304,2011-08-01,3240,1665
6305,2011-08-01,0,1
6306,2011-08-01,23238,1140
6308,2011-08-01,8911,1105
6309,2011-08-01,8401,781
6312,2011-08-01,22870,373
6313,2011-08-01,10423,1443
6316,2011-08-01,6176,352
6317,2011-08-01,7576,369
6318,2011-08-01,0,1
6365,2011-08-01,0,1
6504,2011-08-01,0,1
6643,2011-08-01,0,1
6675,2011-08-01,0,1
6706,2011-08-01,6260,1140
6709,2011-08-01,0,1
6761,2011-08-01,19360,143
6799,2011-08-01,0,1
6808,2011-08-01,11268,1503
6814,2011-08-01,12040,1568
6818,2011-08-01,9682,1409
6882,2011-08-01,0,1
6932,2011-08-01,0,1
6969,2011-08-01,0,1
6971,2011-08-01,8018,1845
7165,2011-08-01,31987,1291
7198,2011-08-01,21461,1121
7270,2011-08-01,5900,648
7327,2011-08-01,0,1
7489,2011-08-01,0,1
7769,2011-08-01,14665,358
7770,2011-08-01,45124,1589
7800,2011-08-01,38750,1389
7916,2011-08-01,0,1
7979,2011-08-01,28376,916
7994,2011-08-01,99297,1011
8033,2011-08-01,110318,138
8035,2011-08-01,49148,1361
8098,2011-08-01,14407,782
8123,2011-08-01,6999,1579
8153,2011-08-01,43248,1746
8188,2011-08-01,27243,256
8207,2011-08-01,4600,1665
8214,2011-08-01,0,1
8231,2011-08-01,3401,1140
8246,2011-08-01,0,1
8288,2011-08-01,0,1
8348,2011-08-01,4265,1330
8421,2011-08-01,0,1
8478,2011-08-01,0,1
8504,2011-08-01,0,1
8642,2011-08-01,95460,942
8676,2011-08-01,25793,1341
8717,2011-08-01,9181,683
8789,2011-08-01,204774,518
8842,2011-08-01,6472,1409
9097,2011-08-01,20447,1697
9257,2011-08-01,22256,744
9318,2011-08-01,2940,648
9362,2011-08-01,0,1
9442,2011-08-01,0,1
9453,2011-08-01,0,1
9686,2011-08-01,0,1
9711,2011-08-01,22470,2
9932,2011-08-01,21289,1341
10020,2011-08-01,0,1
10230,2011-08-01,182739,1173
10233,2011-08-01,122400,786
10255,2011-08-01,5900,648
10316,2011-08-01,0,1
10448,2011-08-01,0,1
10511,2011-08-01,5900,648
10524,2011-08-01,0,1
10653,2011-08-01,0,1
10772,2011-08-01,0,1
10810,2011-08-01,0,1
11004,2011-08-01,12542,1837
11270,2011-08-01,0,1
11271,2011-08-01,0,1
11379,2011-08-01,41602,150
11434,2011-08-01,0,1
11486,2011-08-01,0,1
11600,2011-08-01,0,1
11613,2011-08-01,0,1
11637,2011-08-01,0,1
11652,2011-08-01,0,1
11655,2011-08-01,12669,1536
11750,2011-08-01,0,1
11789,2011-08-01,0,1
11805,2011-08-01,4680,648
11822,2011-08-01,0,1
11825,2011-08-01,21077,1717
11827,2011-08-01,0,1
11834,2011-08-01,0,1
11889,2011-08-01,0,1
11961,2011-08-01,0,1
11971,2011-08-01,45339,1688
11975,2011-08-01,7124,1665
12002,2011-08-01,0,1
12006,2011-08-01,4220,648
12091,2011-08-01,0,1
12166,2011-08-01,0,1
12202,2011-08-01,20160,1356
12223,2011-08-01,0,1
12316,2011-08-01,0,1
12400,2011-08-01,6290,2
12538,2011-08-01,6290,1329
12600,2011-08-01,0,1
12615,2011-08-01,15394,1344
12670,2011-08-01,15677,1391
12760,2011-08-01,0,1
12807,2011-08-01,0,1
12976,2011-08-01,34937,859
13062,2011-08-01,9260,716
13079,2011-08-01,3910,1784
13080,2011-08-01,7440,648
13082,2011-08-01,6100,1181
13083,2011-08-01,6200,1181
13084,2011-08-01,11975,1038
13085,2011-08-01,7205,1409
13086,2011-08-01,12786,63
13087,2011-08-01,11280,259
13089,2011-08-01,18645,1038
13091,2011-08-01,6730,648
13092,2011-08-01,0,1
13111,2011-08-01,8577,970
13117,2011-08-01,11140,1237
13118,2011-08-01,9864,1525
13147,2011-08-01,13559,1821
13150,2011-08-01,8708,1182
13173,2011-08-01,37302,707
13200,2011-08-01,2400,2
13201,2011-08-01,4920,1181
13210,2011-08-01,13644,1029
13213,2011-08-01,8868,491
13216,2011-08-01,0,1
13217,2011-08-01,16188,1189
13225,2011-08-01,9441,520
13235,2011-08-01,19527,1450
13241,2011-08-01,14453,870
13243,2011-08-01,29679,1405
13244,2011-08-01,11796,1080
13259,2011-08-01,18617,875
13262,2011-08-01,6984,98
13263,2011-08-01,0,1
13270,2011-08-01,10800,1251
13273,2011-08-01,13237,1204
13288,2011-08-01,14011,1717
13290,2011-08-01,15593,604
13294,2011-08-01,14233,572
13296,2011-08-01,10602,366
13298,2011-08-01,78697,961
13300,2011-08-01,5504,1600
13301,2011-08-01,10800,403
13302,2011-08-01,8866,1774
13304,2011-08-01,37730,1610
13305,2011-08-01,44923,1555
13309,2011-08-01,12954,1114
13311,2011-08-01,11056,988
13313,2011-08-01,10259,883
13314,2011-08-01,26914,971
13315,2011-08-01,52833,500
13320,2011-08-01,19388,1001
13323,2011-08-01,0,1
13325,2011-08-01,0,1
13326,2011-08-01,25562,703
13331,2011-08-01,11220,1406
13332,2011-08-01,25395,979
13334,2011-08-01,0,1
13336,2011-08-01,9805,648
13337,2011-08-01,8297,1329
13344,2011-08-01,25942,745
13347,2011-08-01,0,1
13349,2011-08-01,9727,749
13359,2011-08-01,15334,775
13362,2011-08-01,3840,1665
13364,2011-08-01,48320,1594
13367,2011-08-01,2683,81
13370,2011-08-01,0,1
13374,2011-08-01,11763,953
13380,2011-08-01,14104,1103
13381,2011-08-01,17305,1380
13382,2011-08-01,20260,1513
13383,2011-08-01,38146,280
13384,2011-08-01,14069,1224
13385,2011-08-01,13914,1331
13402,2011-08-01,8524,1054
13403,2011-08-01,8211,853
13405,2011-08-01,3925,1398
13406,2011-08-01,2940,989
13407,2011-08-01,4667,1755
13414,2011-08-01,0,1
13416,2011-08-01,3257,1398
13426,2011-08-01,43229,629
13428,2011-08-01,12603,415
13429,2011-08-01,13464,479
