"product","date","revenue","units","price"
17960,"2011-07-25",13432,1291,10.4043377226956
17970,"2011-07-25",13701,1420,9.64859154929577
17989,"2011-07-25",0,1,0
18079,"2011-07-25",0,1,0
18105,"2011-07-25",5915,305,19.3934426229508
18164,"2011-07-25",33954,1697,20.0082498526812
18214,"2011-07-25",0,1,0
18223,"2011-07-25",11810,814,14.5085995085995
18375,"2011-07-25",13182,275,47.9345454545455
18416,"2011-07-25",0,1,0
859,"2011-08-01",23860,597,39.9664991624791
863,"2011-08-01",2293,1556,1.47365038560411
869,"2011-08-01",6622,415,15.9566265060241
871,"2011-08-01",4083,1556,2.62403598971722
880,"2011-08-01",0,1,0
881,"2011-08-01",34900,2,17450
883,"2011-08-01",11686,1038,11.2581888246628
890,"2011-08-01",0,1,0
892,"2011-08-01",6348,1181,5.37510584250635
893,"2011-08-01",16952,1801,9.41254858411993
894,"2011-08-01",4795,1665,2.87987987987988
959,"2011-08-01",0,1,0
963,"2011-08-01",0,1,0
969,"2011-08-01",0,1,0
971,"2011-08-01",0,1,0
980,"2011-08-01",0,1,0
981,"2011-08-01",0,1,0
983,"2011-08-01",14000,2,7000
990,"2011-08-01",0,1,0
992,"2011-08-01",0,1,0
993,"2011-08-01",0,1,0
994,"2011-08-01",0,1,0
1799,"2011-08-01",4962,1014,4.89349112426035
1800,"2011-08-01",6749,1090,6.19174311926606
1802,"2011-08-01",13529,1622,8.34093711467324
2022,"2011-08-01",25434,912,27.8881578947368
2031,"2011-08-01",0,1,0
2060,"2011-08-01",0,1,0
2080,"2011-08-01",0,1,0
2083,"2011-08-01",0,1,0
2155,"2011-08-01",0,1,0
2186,"2011-08-01",0,1,0
2250,"2011-08-01",0,1,0
2261,"2011-08-01",0,1,0
2286,"2011-08-01",7030,1611,4.36374922408442
2332,"2011-08-01",9581,1047,9.15090735434575
2342,"2011-08-01",11085,1029,10.7725947521866
2371,"2011-08-01",0,1,0
2394,"2011-08-01",19142,1479,12.9425287356322
2673,"2011-08-01",0,1,0
2692,"2011-08-01",15276,1525,10.0170491803279
2810,"2011-08-01",3399,305,11.144262295082
2825,"2011-08-01",0,1,0
2897,"2011-08-01",1360,2,680
3004,"2011-08-01",24007,135,177.82962962963
3005,"2011-08-01",34939,609,57.3711001642036
3006,"2011-08-01",18604,1655,11.2410876132931
3031,"2011-08-01",162297,1046,155.15965583174
3130,"2011-08-01",142391,1046,136.129063097514
3207,"2011-08-01",28714,1821,15.7682591982427
3278,"2011-08-01",21806,953,22.8814270724029
3384,"2011-08-01",0,1,0
3428,"2011-08-01",10383,609,17.0492610837438
3431,"2011-08-01",5698,415,13.7301204819277
3432,"2011-08-01",8001,1774,4.51014656144307
3437,"2011-08-01",9579,1294,7.40262751159196
3451,"2011-08-01",0,1,0
3518,"2011-08-01",0,1,0
3547,"2011-08-01",0,1,0
3707,"2011-08-01",0,1,0
3738,"2011-08-01",9983,1266,7.88546603475513
3768,"2011-08-01",3597,385,9.34285714285714
3822,"2011-08-01",0,1,0
3841,"2011-08-01",38314,745,51.4281879194631
3982,"2011-08-01",3079,181,17.0110497237569
4058,"2011-08-01",11247,644,17.4642857142857
4145,"2011-08-01",0,1,0
4216,"2011-08-01",0,1,0
4329,"2011-08-01",0,1,0
4376,"2011-08-01",2641,190,13.9
4402,"2011-08-01",2324,1774,1.31003382187148
4404,"2011-08-01",2505,1793,1.39709983268265
4413,"2011-08-01",2272,1774,1.28072153325817
4445,"2011-08-01",3270,234,13.974358974359
4620,"2011-08-01",0,1,0
4636,"2011-08-01",0,1,0
4652,"2011-08-01",3591,225,15.96
5034,"2011-08-01",16644,732,22.7377049180328
5097,"2011-08-01",0,1,0
5106,"2011-08-01",0,1,0
5204,"2011-08-01",101359,1046,96.9015296367113
5239,"2011-08-01",0,1,0
5257,"2011-08-01",12603,305,41.3213114754098
5277,"2011-08-01",0,1,0
5309,"2011-08-01",16630,1398,11.89556509299
5328,"2011-08-01",0,1,0
