"Opted.out.of.all.email","First.email.send.date","Last.email.send.date","Emails.Delivered"
FALSE,2014-04-15,2014-07-28,18
FALSE,2014-04-15,2014-07-28,16
FALSE,2014-04-22,2014-07-30,34
FALSE,2014-04-18,2014-07-30,9
FALSE,2014-04-18,2014-07-28,14
FALSE,2014-04-17,2014-07-28,13
FALSE,2014-04-18,2014-07-28,11
FALSE,2014-04-18,2014-07-28,7
FALSE,2014-04-18,2014-07-28,23
FALSE,2014-04-17,2014-07-28,18
FALSE,2014-04-17,2014-07-28,12
FALSE,2014-04-15,2014-07-28,16
FALSE,2014-04-21,2014-07-28,16
FALSE,2014-04-16,2014-07-28,7
FALSE,2014-04-17,2014-07-28,7
FALSE,2014-04-18,2014-07-28,7
FALSE,2014-04-21,2014-07-28,11
FALSE,2014-04-17,2014-04-22,1
FALSE,2014-04-16,2014-07-28,17
FALSE,2014-04-17,2014-07-28,7
FALSE,2014-04-16,2014-07-28,7
FALSE,2014-04-22,2014-07-28,12
TRUE,2014-04-16,2014-05-27,4
FALSE,2014-04-17,2014-07-28,7
FALSE,2014-04-21,2014-07-28,16
FALSE,2014-04-16,2014-07-28,12
FALSE,2014-04-16,2014-07-28,16
FALSE,2014-04-17,2014-07-28,7
FALSE,2014-04-17,2014-07-28,16
FALSE,2014-04-22,2014-07-28,16
FALSE,2014-04-16,2014-07-28,12
FALSE,2014-04-15,2014-07-28,20
FALSE,2014-04-14,2014-07-28,12
FALSE,2014-04-15,2014-07-28,12
FALSE,2014-04-16,2014-07-28,7
FALSE,2014-04-19,2014-07-28,18
FALSE,2014-04-19,2014-07-28,29
FALSE,2014-04-18,2014-07-28,13
FALSE,2014-04-21,2014-07-28,13
FALSE,2014-04-21,2014-07-28,7
FALSE,2014-04-21,2014-07-28,19
FALSE,2014-04-18,2014-07-28,7
FALSE,2014-04-19,2014-07-28,13
FALSE,2014-04-22,2014-07-28,21
FALSE,2014-04-22,2014-07-28,14
FALSE,2014-04-21,2014-07-28,17
FALSE,2014-04-19,2014-07-28,35
FALSE,2014-04-22,2014-07-28,11
FALSE,2014-04-20,2014-07-28,29
FALSE,2014-04-19,2014-07-28,12
FALSE,2014-04-21,2014-07-28,12
FALSE,2014-04-21,2014-07-28,7
FALSE,2014-04-21,2014-07-28,12
FALSE,2014-04-22,2014-07-28,12
FALSE,2014-04-21,2014-07-28,12
FALSE,2014-04-18,2014-07-28,17
FALSE,2014-04-19,2014-07-28,18
FALSE,2014-04-20,2014-07-28,7
FALSE,2014-04-22,2014-07-28,15
FALSE,2014-04-21,2014-07-28,12
FALSE,2014-04-21,2014-07-28,8
FALSE,2014-04-21,2014-07-28,16
FALSE,2014-04-19,2014-07-30,20
FALSE,2014-04-21,2014-07-28,13
FALSE,2014-04-22,2014-07-28,11
FALSE,2014-04-21,2014-07-28,11
FALSE,2014-04-18,2014-07-28,23
FALSE,2014-04-21,2014-07-28,14
FALSE,2014-04-19,2014-07-28,14
FALSE,2014-04-20,2014-07-28,7
FALSE,2014-04-20,2014-07-28,12
FALSE,2014-04-19,2014-07-28,14
FALSE,2014-04-21,2014-07-28,19
FALSE,2014-04-18,2014-07-28,14
FALSE,2014-04-19,2014-07-28,8
FALSE,2014-04-18,2014-07-28,13
FALSE,2014-04-22,2014-07-28,23
FALSE,2014-04-21,2014-07-28,26
FALSE,2014-04-22,2014-07-28,26
FALSE,2014-04-22,2014-07-28,10
FALSE,2014-04-19,2014-07-28,7
FALSE,2014-04-22,2014-07-28,18
FALSE,2014-04-20,2014-07-28,12
FALSE,2014-04-21,2014-07-29,13
FALSE,2014-04-22,2014-07-28,12
FALSE,2014-04-23,2014-07-28,22
FALSE,2014-04-23,2014-07-28,20
FALSE,2014-04-23,2014-07-28,12
FALSE,2014-04-21,2014-07-28,17
FALSE,2014-04-28,2014-07-29,12
FALSE,2014-04-23,2014-07-28,15
FALSE,2014-04-24,2014-07-28,15
FALSE,2014-04-23,2014-07-28,15
FALSE,2014-04-22,2014-07-28,7
FALSE,2014-04-25,2014-07-28,10
FALSE,2014-04-22,2014-07-28,11
FALSE,2014-05-07,2014-07-28,16
TRUE,2014-04-22,2014-05-20,8
FALSE,2014-04-23,2014-07-28,11
FALSE,2014-04-24,2014-07-28,16
FALSE,2014-04-21,2014-07-28,7
FALSE,2014-04-23,2014-07-28,25
FALSE,2014-04-28,2014-07-28,10
FALSE,2014-05-20,2014-07-28,16
FALSE,2014-04-22,2014-07-28,25
FALSE,2014-05-19,2014-07-29,6
FALSE,2014-04-25,2014-07-28,10
FALSE,2014-04-22,2014-07-28,12
FALSE,2014-04-22,2014-07-30,21
FALSE,2014-05-30,2014-07-28,11
FALSE,2014-05-07,2014-07-28,11
FALSE,2014-04-22,2014-07-28,22
FALSE,2014-04-22,2014-07-28,25
FALSE,2014-04-23,2014-07-28,15
FALSE,2014-04-22,2014-07-28,17
FALSE,2014-04-24,2014-07-28,11
FALSE,2014-04-23,2014-07-28,11
FALSE,2014-04-22,2014-07-28,15
FALSE,2014-04-24,2014-06-24,8
FALSE,2014-04-23,2014-07-28,14
FALSE,2014-04-23,2014-07-28,20
FALSE,2014-04-24,2014-07-28,36
FALSE,2014-04-23,2014-07-28,15
FALSE,2014-04-23,2014-07-28,11
FALSE,2014-04-23,2014-07-28,18
FALSE,2014-04-28,2014-07-28,10
FALSE,2014-04-24,2014-07-28,11
FALSE,2014-04-26,2014-07-28,15
FALSE,2014-04-22,2014-07-28,13
FALSE,2014-04-21,2014-07-28,13
FALSE,2014-04-22,2014-07-28,7
TRUE,2014-04-21,2014-05-22,6
FALSE,2014-04-22,2014-07-28,11
FALSE,2014-04-24,2014-07-28,23
FALSE,2014-04-23,2014-07-28,21
FALSE,2014-04-25,2014-07-28,11
FALSE,2014-04-28,2014-07-28,10
FALSE,2014-04-28,2014-07-28,16
FALSE,2014-05-05,2014-07-28,25
FALSE,2014-05-07,2014-07-28,10
FALSE,2014-04-26,2014-07-28,11
FALSE,2014-05-07,2014-07-29,22
FALSE,2014-04-25,2014-07-28,21
FALSE,2014-04-25,2014-07-28,11
FALSE,2014-05-01,2014-07-28,10
FALSE,2014-04-25,2014-07-28,23
FALSE,2014-04-25,2014-07-28,16
FALSE,2014-04-25,2014-07-28,11
FALSE,2014-04-27,2014-07-28,14
FALSE,2014-04-25,2014-07-28,15
FALSE,2014-04-25,2014-07-28,11
FALSE,2014-06-25,2014-07-28,12
FALSE,2014-04-24,2014-07-28,11
FALSE,2014-04-27,2014-07-28,15
FALSE,2014-04-26,2014-07-28,15
FALSE,2014-04-25,2014-07-28,15
FALSE,2014-04-26,2014-07-28,25
FALSE,2014-04-25,2014-07-28,16
FALSE,2014-05-07,2014-07-28,7
FALSE,2014-05-25,2014-07-28,11
FALSE,2014-04-30,2014-07-28,10
FALSE,2014-04-27,2014-07-28,15
FALSE,2014-05-07,2014-07-28,10
FALSE,2014-04-26,2014-07-28,11
FALSE,2014-05-05,2014-07-28,17
FALSE,2014-04-27,2014-07-28,11
FALSE,2014-04-25,2014-07-28,11
FALSE,2014-04-27,2014-07-28,20
FALSE,2014-04-26,2014-07-28,16
FALSE,2014-05-07,2014-07-28,11
FALSE,2014-04-28,2014-07-28,11
FALSE,2014-04-25,2014-07-28,11
FALSE,2014-04-28,2014-07-28,11
FALSE,2014-07-02,2014-07-28,9
FALSE,2014-07-18,2014-07-28,6
FALSE,2014-04-26,2014-07-28,15
FALSE,2014-04-28,2014-07-28,11
FALSE,2014-04-26,2014-07-28,20
FALSE,2014-04-26,2014-07-28,17
FALSE,2014-04-28,2014-07-28,11
FALSE,2014-05-07,2014-07-28,17
FALSE,2014-04-25,2014-07-28,26
FALSE,2014-04-29,2014-07-28,10
FALSE,2014-04-27,2014-07-28,11
FALSE,2014-05-02,2014-07-28,10
FALSE,2014-05-07,2014-07-28,16
FALSE,2014-04-29,2014-07-28,34
FALSE,2014-04-30,2014-07-28,15
FALSE,2014-04-29,2014-07-28,17
FALSE,2014-05-06,2014-07-28,18
FALSE,2014-05-07,2014-07-28,42
FALSE,2014-05-02,2014-07-28,11
FALSE,2014-04-29,2014-07-28,15
FALSE,2014-05-05,2014-07-28,15
FALSE,2014-04-30,2014-07-28,11
FALSE,2014-04-29,2014-07-30,12
FALSE,2014-04-28,2014-07-28,16
